Print ID	Scan ID	DOM ID	ARK
003996603	014602826	lsidyv3d812d61	ark:/81055/vdc_000000027E58
000001143	014602830	lsidyv2eb1b8fa	ark:/81055/vdc_000000027FEA
000022782	014602831	lsidyv2eb0f8a4	ark:/81055/vdc_000000027E6A
000039775	014602832	lsidyv2eb1c15c	ark:/81055/vdc_000000028008
000092666	014602833	lsidyv2eb1c910	ark:/81055/vdc_00000002802C
000093359	014602834	lsidyv2eb1c0f3	ark:/81055/vdc_000000028002
000150273	014602835	lsidyv2eb156be	ark:/81055/vdc_000000027F12
000156011	014602836	lsidyv2eb1ca35	ark:/81055/vdc_000000028032
000261714	014602837	lsidyv2eb0fa09	ark:/81055/vdc_000000027E76
000445451	014602838	lsidyv2eb12704	ark:/81055/vdc_000000027EC4
000471797	014602839	lsidyv2eb1ccb9	ark:/81055/vdc_000000028044
000491748	014602840	lsidyv2eb1ce6e	ark:/81055/vdc_00000002804A
000665167	014602841	lsidyv2eb1b885	ark:/81055/vdc_000000027FE4
000697406	014602842	lsidyv2eb1ad90	ark:/81055/vdc_000000027FBA
000708469	014602843	lsidyv2eb1c3cd	ark:/81055/vdc_000000028020
000742328	014602844	lsidyv2eb110f9	ark:/81055/vdc_000000027E94
000754022	014602845	lsidyv2eb1190f	ark:/81055/vdc_000000027EAC
000841065	014602846	lsidyv2eb1a6ef	ark:/81055/vdc_000000027FA2
000987687	014602847	lsidyv2eb1b983	ark:/81055/vdc_000000027FF0
001053233	014602848	lsidyv2eb1aea9	ark:/81055/vdc_000000027FC0
001066339	014602849	lsidyv2eb0ffa0	ark:/81055/vdc_000000027E88
001193968	014602850	lsidyv2eb1b7f3	ark:/81055/vdc_000000027FDE
001275216	014602851	lsidyv2eb1cb5e	ark:/81055/vdc_000000028038
001309254	014602852	lsidyv2eb1aeee	ark:/81055/vdc_000000027FC6
001553757	014602853	lsidyv2eb1cc20	ark:/81055/vdc_00000002803E
001611937	014602854	lsidyv2eb15be8	ark:/81055/vdc_000000027F1E
001621687	014602855	lsidyv2eb1c1ec	ark:/81055/vdc_00000002800E
001650835	014602856	lsidyv2eb1ac4d	ark:/81055/vdc_000000027FAE
001790180	014602857	lsidyv2eb112c3	ark:/81055/vdc_000000027E9A
001793921	014602858	lsidyv2eb18738	ark:/81055/vdc_000000027F60
001794108	014602859	lsidyv2eb1d7fe	ark:/81055/vdc_00000002805C
001794109	014602860	lsidyv2eb1d8a3	ark:/81055/vdc_000000028062
001824794	014602861	lsidyv2eb1bff2	ark:/81055/vdc_000000027FFC
001916239	014602862	lsidyv2eb1db17	ark:/81055/vdc_000000028074
001943804	014602863	lsidyv2eb1ab90	ark:/81055/vdc_000000027FA8
002087615	014602864	lsidyv2eb114c0	ark:/81055/vdc_000000027EA0
002605410	014602865	lsidyv2eb0fb10	ark:/81055/vdc_000000027E7C
002741811	014602866	lsidyv2eb1b5ed	ark:/81055/vdc_000000027FD2
003020776	014602867	lsidyv2eb1acdd	ark:/81055/vdc_000000027FB4
003033654	014602868	lsidyv2eb15659	ark:/81055/vdc_000000027F0C
003033656	014602869	lsidyv2eb15530	ark:/81055/vdc_000000027F06
003087482	014602870	lsidyv2eb1d2e6	ark:/81055/vdc_000000028050
003410582	014602871	lsidyv2eb1d93f	ark:/81055/vdc_000000028068
003410586	014602872	lsidyv2eb0f931	ark:/81055/vdc_000000027E70
003432246	014602873	lsidyv2eb1c2f3	ark:/81055/vdc_000000028014
003495196	014602874	lsidyv2eb19fe4	ark:/81055/vdc_000000027F96
003596711	014602875	lsidyv2eb15005	ark:/81055/vdc_000000027EEE
003602207	014602876	lsidyv2eb1d375	ark:/81055/vdc_000000028056
003754692	014602877	lsidyv2eb15b63	ark:/81055/vdc_000000027F18
003759924	014602878	lsidyv2eb152f1	ark:/81055/vdc_000000027EFA
003853176	014602879	lsidyv2eb1c8cb	ark:/81055/vdc_000000028026
003905160	014602880	lsidyv2eb1da6a	ark:/81055/vdc_00000002806E
